,pred,true,pred prob
0,2,2,"[0.023606808856129646, 0.06624553352594376, 0.9084582328796387, 0.001689413795247674]"
1,1,1,"[0.00032345543149858713, 0.9452510476112366, 0.029296770691871643, 0.025128651410341263]"
2,0,0,"[0.8685998320579529, 0.008936859667301178, 0.12110228836536407, 0.0013610192108899355]"
3,0,0,"[0.7445771098136902, 0.06778956949710846, 0.1617790311574936, 0.02585436776280403]"
4,3,3,"[0.002216469496488571, 0.02726934663951397, 0.009182543493807316, 0.9613316655158997]"
5,3,3,"[9.880327706923708e-05, 0.04664355888962746, 0.003427226096391678, 0.9498304128646851]"
6,3,3,"[0.00011594480747589841, 0.08155260980129242, 0.018364598974585533, 0.8999667167663574]"
7,2,2,"[0.001032934756949544, 0.05808044224977493, 0.9112797379493713, 0.02960692159831524]"
8,3,3,"[0.0009571845876052976, 0.006040092092007399, 0.0003626412944868207, 0.9926400184631348]"
9,1,1,"[0.025336330756545067, 0.9360480308532715, 0.02961207740008831, 0.009003481827676296]"
10,2,2,"[0.015404199250042439, 0.050323449075222015, 0.8983960747718811, 0.03587621450424194]"
11,2,2,"[0.0018544694175943732, 0.028043394908308983, 0.9634482264518738, 0.006653880700469017]"
12,2,2,"[0.033900126814842224, 0.011005393229424953, 0.94919753074646, 0.005896984599530697]"
13,1,1,"[0.01720269024372101, 0.9735351800918579, 0.0017210172954946756, 0.007541127037256956]"
14,3,3,"[0.0013151692692190409, 0.053338419646024704, 0.014275654219090939, 0.9310706853866577]"
15,3,3,"[0.045273564755916595, 0.2451787292957306, 0.11151376366615295, 0.5980339646339417]"
16,3,3,"[0.0028445334173738956, 0.04852939024567604, 0.003770010080188513, 0.9448561072349548]"
17,2,2,"[0.005357768852263689, 0.0009999750182032585, 0.991124153137207, 0.002518079476431012]"
18,0,0,"[0.8261678218841553, 0.07879863679409027, 0.0913640484213829, 0.0036695918533951044]"
19,3,3,"[0.0010344975162297487, 0.015209690667688847, 0.00010038409527624026, 0.9836554527282715]"
20,2,2,"[0.0067285276018083096, 0.02727123349905014, 0.8217414617538452, 0.14425881206989288]"
21,2,2,"[0.02982596680521965, 0.019768329337239265, 0.9498672485351562, 0.0005383994430303574]"
22,2,2,"[0.0030764201655983925, 0.003542805789038539, 0.9933383464813232, 4.239685586071573e-05]"
23,2,2,"[0.0009471203084103763, 0.047077395021915436, 0.9185615181922913, 0.03341400623321533]"
24,1,2,"[0.019106531515717506, 0.5970586538314819, 0.38359782099723816, 0.00023705529747530818]"
25,0,0,"[0.844927966594696, 0.0038420853670686483, 0.15121710300445557, 1.2795760085282382e-05]"
26,1,1,"[9.475871047470719e-05, 0.8016400933265686, 0.04585077613592148, 0.15241439640522003]"
27,2,2,"[0.001929412828758359, 0.07344789057970047, 0.858882486820221, 0.06574025750160217]"
28,3,3,"[0.023475365713238716, 0.02966058999300003, 0.09762369841337204, 0.8492403030395508]"
29,1,1,"[0.011639047414064407, 0.8538525700569153, 0.07788290828466415, 0.056625545024871826]"
30,2,2,"[0.013799015432596207, 0.06352046132087708, 0.9205899238586426, 0.0020905465353280306]"
31,1,1,"[0.019402209669351578, 0.9737629890441895, 0.003349724691361189, 0.0034850146621465683]"
32,3,3,"[4.978676588507369e-05, 0.06006846949458122, 0.0009647353435866535, 0.9389170408248901]"
33,1,1,"[0.0012005881872028112, 0.8276064395904541, 0.13123734295368195, 0.03995566442608833]"
34,3,3,"[0.015320004895329475, 0.03496932238340378, 0.0013985901605337858, 0.9483120441436768]"
35,2,2,"[0.0007300415309146047, 0.021395599469542503, 0.9375855326652527, 0.04028875380754471]"
36,2,2,"[0.003298993455246091, 0.0072106788866221905, 0.9791364669799805, 0.010353751480579376]"
37,3,3,"[0.001180262421257794, 0.014061161316931248, 0.0013710869243368506, 0.9833874702453613]"
38,2,1,"[0.009397841058671474, 0.43021565675735474, 0.5327739119529724, 0.027612607926130295]"
39,1,1,"[0.010757634416222572, 0.978394091129303, 0.004038229584693909, 0.0068100569769740105]"
40,2,2,"[0.11668320745229721, 0.01060336921364069, 0.8540713787078857, 0.018642093986272812]"
41,0,0,"[0.8505252599716187, 0.048985179513692856, 0.09070894867181778, 0.009780648164451122]"
42,0,0,"[0.7385276556015015, 0.14225676655769348, 0.07564207166433334, 0.04357340186834335]"
43,1,1,"[0.031441204249858856, 0.9288123846054077, 0.024327654391527176, 0.015418700873851776]"
44,0,0,"[0.9896251559257507, 0.006108817644417286, 0.0033762226812541485, 0.0008898305241018534]"
45,2,2,"[0.0007570617599412799, 0.004217668902128935, 0.9568994045257568, 0.038125790655612946]"
46,2,2,"[0.02145506627857685, 0.027540292590856552, 0.9505810737609863, 0.0004235836386214942]"
47,0,0,"[0.9312061667442322, 0.06077760085463524, 0.0009348105522803962, 0.007081445772200823]"
48,3,3,"[0.025040965527296066, 0.009448838420212269, 0.0005684597417712212, 0.9649417400360107]"
49,3,3,"[0.005627027712762356, 0.01780516840517521, 0.009563916362822056, 0.9670038819313049]"
50,0,0,"[0.9136667251586914, 0.08409327268600464, 0.0021272306330502033, 0.00011278017336735502]"
51,1,1,"[0.01398160308599472, 0.9601766467094421, 0.025689445436000824, 0.00015231840370688587]"
52,2,2,"[0.06313444674015045, 0.20670171082019806, 0.6923156380653381, 0.03784816712141037]"
53,3,3,"[0.0019067326793447137, 0.016467634588479996, 0.007284806575626135, 0.9743408560752869]"
54,1,1,"[0.0005262201884761453, 0.968549907207489, 0.002281696069985628, 0.028642181307077408]"
55,1,1,"[0.0020276063587516546, 0.8656873106956482, 0.08226695656776428, 0.05001813918352127]"
56,3,3,"[0.000965291983447969, 0.03362911194562912, 0.0011694164713844657, 0.9642361998558044]"
57,2,2,"[0.007110287435352802, 0.05046672746539116, 0.9096980690956116, 0.03272496536374092]"
58,2,2,"[0.0020087547600269318, 0.03993390128016472, 0.8449918627738953, 0.11306539177894592]"
59,3,3,"[0.0007137032807804644, 0.017860108986496925, 0.03460410237312317, 0.9468221068382263]"
60,3,3,"[0.011377586051821709, 0.027242830023169518, 0.0068321689032018185, 0.9545474648475647]"
61,1,1,"[0.0014788882108405232, 0.5918132066726685, 0.012168188579380512, 0.39453980326652527]"
62,3,3,"[0.02929886430501938, 0.024859415367245674, 0.0010152552276849747, 0.9448264837265015]"
63,2,2,"[0.0019486189121380448, 0.023977316915988922, 0.9700433611869812, 0.004030747804790735]"
64,2,2,"[0.028475692495703697, 0.0008845163974910975, 0.9703313708305359, 0.00030836445512250066]"
65,3,3,"[0.029601246118545532, 0.011752687394618988, 0.001129644108004868, 0.9575164318084717]"
66,3,3,"[0.0013574943877756596, 0.038026679307222366, 0.02117805927991867, 0.939437747001648]"
67,3,3,"[0.08244539797306061, 0.025367658585309982, 0.014178321696817875, 0.8780086636543274]"
68,2,2,"[0.029851024970412254, 0.006544582545757294, 0.9505835771560669, 0.013020876795053482]"
69,0,0,"[0.8114224672317505, 0.14638465642929077, 0.00732817966490984, 0.03486471250653267]"
70,0,0,"[0.9693565368652344, 0.0291869156062603, 0.001388120697811246, 6.836626562289894e-05]"
71,2,2,"[0.053135670721530914, 0.15356740355491638, 0.6918153166770935, 0.10148163139820099]"
72,3,3,"[0.046074092388153076, 0.008732395246624947, 0.006710490211844444, 0.9384829998016357]"
73,3,3,"[0.0058318874798715115, 0.015740204602479935, 3.594177542254329e-05, 0.9783918857574463]"
74,0,0,"[0.5744950175285339, 0.0007344094919972122, 0.08546026796102524, 0.33931028842926025]"
75,0,0,"[0.8075346946716309, 0.14908283948898315, 0.0015770064201205969, 0.0418054535984993]"
76,2,2,"[0.011982429772615433, 0.00462731858715415, 0.8146276473999023, 0.16876254975795746]"
77,2,2,"[0.04931808263063431, 0.05439705029129982, 0.8873357772827148, 0.008949180133640766]"
78,1,1,"[0.024902861565351486, 0.7998462915420532, 0.16774797439575195, 0.007502793334424496]"
79,2,2,"[0.0004527665732894093, 0.019718753173947334, 0.9142483472824097, 0.06558017432689667]"
80,0,0,"[0.8591130971908569, 0.058936942368745804, 0.07830607891082764, 0.0036439395043998957]"
81,0,0,"[0.8349243998527527, 0.01126426924020052, 0.07250525057315826, 0.08130613714456558]"
82,1,1,"[0.01878340356051922, 0.9538892507553101, 0.00390323786996305, 0.02342410199344158]"
83,3,3,"[0.1286037415266037, 0.014047779142856598, 0.0018932290840893984, 0.8554552793502808]"
84,1,1,"[0.002460780320689082, 0.5752227902412415, 0.0050271968357264996, 0.41728925704956055]"
85,0,0,"[0.7198842167854309, 0.22891251742839813, 0.00600429205223918, 0.0451989620923996]"
86,2,2,"[0.08830983191728592, 0.0005107319448143244, 0.9057327508926392, 0.005446570925414562]"
87,3,3,"[0.0030246200039982796, 0.003393652616068721, 0.11144763976335526, 0.8821340799331665]"
88,1,1,"[0.0013169350568205118, 0.9320855736732483, 0.0016739509301260114, 0.06492359191179276]"
89,2,2,"[0.017207002267241478, 0.02290857397019863, 0.9585884809494019, 0.0012959296582266688]"
90,3,3,"[0.00021692430891562253, 0.3060958683490753, 0.04767855256795883, 0.6460086107254028]"
91,0,0,"[0.895007848739624, 0.07825616747140884, 0.008405198343098164, 0.018330764025449753]"
92,0,0,"[0.9392135143280029, 0.00662575988098979, 0.026678716763854027, 0.02748195454478264]"
93,0,0,"[0.7299242615699768, 0.009708576835691929, 0.1699403077363968, 0.09042686223983765]"
94,2,2,"[0.02235312946140766, 0.0024736039340496063, 0.9745872616767883, 0.0005860486417077482]"
95,3,3,"[0.0011435509659349918, 0.03410106897354126, 0.0008066072477959096, 0.9639487862586975]"
96,3,3,"[0.000410720007494092, 0.017134254798293114, 0.0003586554666981101, 0.9820963144302368]"
97,1,1,"[0.00038460796349681914, 0.9668154120445251, 0.005061848554760218, 0.027738161385059357]"
98,1,1,"[0.046959586441516876, 0.887499213218689, 0.06270989775657654, 0.002831247402355075]"
99,1,1,"[0.0016075074672698975, 0.8931402564048767, 0.00124262273311615, 0.10400966554880142]"
100,3,3,"[0.029380854219198227, 0.014597475528717041, 0.0003851637302432209, 0.9556365013122559]"
101,3,3,"[0.0003865332982968539, 0.06088506802916527, 0.012416482903063297, 0.9263119697570801]"
102,0,0,"[0.6253529191017151, 0.2673824727535248, 0.025448134168982506, 0.08181645721197128]"
103,2,2,"[0.0025262502022087574, 0.004901553504168987, 0.9900616407394409, 0.0025105655658990145]"
104,1,1,"[0.001013520173728466, 0.9088382720947266, 0.006894112564623356, 0.08325409144163132]"
105,2,2,"[0.058932166546583176, 0.023248428478837013, 0.9170892238616943, 0.00073016103124246]"
106,2,2,"[0.01882186532020569, 0.006320303305983543, 0.7765139937400818, 0.19834373891353607]"
107,2,2,"[0.022856803610920906, 0.011574585922062397, 0.9616537690162659, 0.0039148773066699505]"
108,0,0,"[0.829218327999115, 0.1423616111278534, 0.013673820532858372, 0.014746247790753841]"
109,2,2,"[0.01366358157247305, 0.001556088333018124, 0.984718382358551, 6.195378227857873e-05]"
110,0,0,"[0.9613375067710876, 0.004140627570450306, 0.03428373113274574, 0.00023812783183529973]"
111,2,2,"[0.0031548552215099335, 0.026520006358623505, 0.8973544836044312, 0.0729706808924675]"
112,1,1,"[0.00040451245149597526, 0.846289336681366, 0.1329391449689865, 0.020366959273815155]"
113,2,2,"[0.00011402684322092682, 0.008774863556027412, 0.9908204674720764, 0.00029074904159642756]"
114,3,3,"[0.003419548738747835, 0.01280806865543127, 0.0011835108743980527, 0.9825888872146606]"
115,0,0,"[0.9112815260887146, 0.009179392829537392, 0.0774945542216301, 0.0020444663241505623]"
116,1,1,"[4.877067112829536e-05, 0.9431055784225464, 0.012005853466689587, 0.044839825481176376]"
