,pred,true,pred prob
0,2,2,"[0.011749876663088799, 0.10280915349721909, 0.8804503679275513, 0.0049905674532055855]"
1,2,2,"[0.033735234290361404, 0.003890876891091466, 0.9579958319664001, 0.00437805475667119]"
2,2,2,"[0.0007221281994134188, 0.07602198421955109, 0.7886086702346802, 0.13464723527431488]"
3,0,0,"[0.9278014302253723, 0.03205622360110283, 0.039859529584646225, 0.00028288099565543234]"
4,1,1,"[0.031232478097081184, 0.8409792184829712, 0.08253926038742065, 0.045249052345752716]"
5,1,1,"[0.024496804922819138, 0.9519899487495422, 0.012650979682803154, 0.0108621995896101]"
6,0,0,"[0.985909640789032, 0.004269525874406099, 0.009743880480527878, 7.691403880016878e-05]"
7,2,2,"[0.0011399824870750308, 0.08453689515590668, 0.9130446910858154, 0.0012783987913280725]"
8,2,2,"[0.017144825309515, 0.07419057935476303, 0.7319855093955994, 0.17667904496192932]"
9,3,3,"[0.025772398337721825, 0.10278885066509247, 0.1562979817390442, 0.7151407599449158]"
10,0,0,"[0.963883101940155, 0.010352658107876778, 0.023935092613101006, 0.0018292585154995322]"
11,0,0,"[0.9590159058570862, 0.01813414692878723, 0.022649237886071205, 0.00020075711654499173]"
12,3,3,"[0.024245895445346832, 0.11726834625005722, 0.04016288369894028, 0.8183228373527527]"
13,1,1,"[0.006244423799216747, 0.8653091192245483, 0.05796770006418228, 0.07047870010137558]"
14,0,0,"[0.9301267862319946, 0.010947934351861477, 0.058681849390268326, 0.0002433403133181855]"
15,1,1,"[0.10704794526100159, 0.8249028921127319, 0.062017373740673065, 0.006031834986060858]"
16,3,3,"[0.051433876156806946, 0.030044149607419968, 0.07626445591449738, 0.842257559299469]"
17,3,3,"[0.003684345865622163, 0.11712361127138138, 0.03771878778934479, 0.8414732217788696]"
18,3,3,"[0.00017668446525931358, 0.08817023783922195, 0.01252718735486269, 0.899125874042511]"
19,0,0,"[0.9713790416717529, 0.0006555610452778637, 0.027850694954395294, 0.00011468707089079544]"
20,2,2,"[0.0032397813629359007, 0.22617851197719574, 0.7070377469062805, 0.06354396045207977]"
21,3,3,"[0.08870899677276611, 0.06838969141244888, 0.013930648565292358, 0.8289706707000732]"
22,1,1,"[0.08229673653841019, 0.8770584464073181, 0.03948453813791275, 0.001160187879577279]"
23,1,1,"[0.03322552517056465, 0.8724178075790405, 0.08113343268632889, 0.013223248533904552]"
24,3,3,"[0.005073165986686945, 0.03589504212141037, 0.08800458163022995, 0.8710271120071411]"
25,1,1,"[0.003436928614974022, 0.8931369185447693, 0.09440749138593674, 0.009018690325319767]"
26,1,1,"[0.017996178939938545, 0.8668741583824158, 0.09847883135080338, 0.016650769859552383]"
27,0,0,"[0.9261063933372498, 0.016111323609948158, 0.036641091108322144, 0.021141186356544495]"
28,2,2,"[0.13517504930496216, 0.07058504968881607, 0.793463945388794, 0.0007759127183817327]"
29,2,2,"[0.008855927735567093, 0.08893286436796188, 0.8981618285179138, 0.00404937332496047]"
30,2,2,"[0.1598728746175766, 0.011026143096387386, 0.8288912177085876, 0.00020970994955860078]"
31,2,2,"[0.0020981270354241133, 0.0464002899825573, 0.9479308724403381, 0.0035707317292690277]"
32,2,2,"[0.0019461443880572915, 0.03480363264679909, 0.9154607653617859, 0.04778941348195076]"
33,2,2,"[0.018628474324941635, 0.04746290668845177, 0.9337537288665771, 0.00015482745948247612]"
34,1,1,"[0.0032043559476733208, 0.9635551571846008, 0.03300299122929573, 0.00023751276603434235]"
35,1,1,"[0.012546378187835217, 0.5226199626922607, 0.46260836720466614, 0.002225303091108799]"
36,3,3,"[0.030323576182127, 0.11672111600637436, 0.01667923294007778, 0.8362760543823242]"
37,1,1,"[0.0002467671292833984, 0.8017837405204773, 0.16847370564937592, 0.029495853930711746]"
38,0,0,"[0.9584065675735474, 0.022582804784178734, 0.01891513727605343, 9.547901572659612e-05]"
39,2,2,"[0.004131811670958996, 0.09354384243488312, 0.8992820382118225, 0.003042316995561123]"
40,2,2,"[0.006570449564605951, 0.1994711458683014, 0.7537103891372681, 0.040248092263936996]"
41,1,1,"[0.00212567625567317, 0.8405485153198242, 0.08017516136169434, 0.0771506130695343]"
42,3,3,"[0.00010096566984429955, 0.06477366387844086, 0.02829514443874359, 0.9068302512168884]"
43,1,1,"[0.2845304012298584, 0.6437660455703735, 0.06784000247716904, 0.003863530233502388]"
44,0,0,"[0.969822883605957, 0.0053079500794410706, 0.02470298297703266, 0.00016610226884949952]"
45,0,0,"[0.9826247096061707, 0.0031130972784012556, 0.013315943069756031, 0.0009463638998568058]"
46,0,0,"[0.9618410468101501, 0.022110072895884514, 0.01499136257916689, 0.0010574838379397988]"
47,3,3,"[0.0006205814424902201, 0.03407706692814827, 0.037084534764289856, 0.9282177090644836]"
48,2,2,"[0.05723873898386955, 0.022545810788869858, 0.9200517535209656, 0.0001636631932342425]"
49,1,1,"[0.16615797579288483, 0.6876791715621948, 0.13712471723556519, 0.00903814285993576]"
50,2,2,"[0.002202704781666398, 0.0847790315747261, 0.7865510582923889, 0.12646721303462982]"
51,1,1,"[0.008354812860488892, 0.6354221701622009, 0.3471525311470032, 0.009070447646081448]"
52,2,2,"[0.012938803061842918, 0.37649714946746826, 0.569245457649231, 0.041318561881780624]"
53,1,1,"[0.00011112693755421788, 0.9308366775512695, 0.02516103722155094, 0.04389121010899544]"
54,2,2,"[0.27102991938591003, 0.05581309273838997, 0.6715182065963745, 0.001638802350498736]"
55,1,1,"[0.0005509027978405356, 0.9134429693222046, 0.06925121694803238, 0.01675490476191044]"
56,0,0,"[0.9505676031112671, 0.028407955542206764, 0.0205325148999691, 0.000491971499286592]"
57,2,2,"[0.01862969994544983, 0.06342961639165878, 0.9176884889602661, 0.0002522256108932197]"
58,2,2,"[0.08066478371620178, 0.21240746974945068, 0.6925359964370728, 0.014391820877790451]"
59,3,3,"[5.7676432334119454e-05, 0.039797376841306686, 0.05791868641972542, 0.9022263288497925]"
60,2,2,"[0.11574707180261612, 0.002869970165193081, 0.8813329339027405, 5.0008795369649306e-05]"
61,0,0,"[0.9120860695838928, 0.007631935644894838, 0.07861816138029099, 0.0016638112720102072]"
62,3,3,"[0.2500402629375458, 0.041033368557691574, 0.025685911998152733, 0.6832403540611267]"
63,3,3,"[0.0034357616677880287, 0.12685830891132355, 0.037094250321388245, 0.8326117396354675]"
64,1,1,"[0.0010737215634435415, 0.8265810012817383, 0.08621840178966522, 0.08612686395645142]"
65,3,3,"[0.00935282465070486, 0.03851495683193207, 0.07242653518915176, 0.8797057271003723]"
66,2,2,"[0.0007489276467822492, 0.02016006037592888, 0.951099693775177, 0.027991333976387978]"
67,2,2,"[0.03221294656395912, 0.02363191917538643, 0.9439228177070618, 0.000232384743867442]"
68,2,2,"[0.00038847868563607335, 0.03147003427147865, 0.9616885185241699, 0.0064529189839959145]"
69,0,0,"[0.9493670463562012, 0.0012705418048426509, 0.04926295205950737, 9.940715972334146e-05]"
70,3,3,"[0.0010380676249042153, 0.1564057171344757, 0.09796761721372604, 0.7445886135101318]"
71,3,3,"[0.026762397959828377, 0.10204221308231354, 0.019786126911640167, 0.8514091968536377]"
72,2,2,"[0.007650765590369701, 0.09333600848913193, 0.8978945016860962, 0.0011187010677531362]"
73,0,0,"[0.9833353757858276, 0.0011513179633766413, 0.014841330237686634, 0.0006719607627019286]"
74,3,3,"[0.002520353300496936, 0.07455781102180481, 0.02465074136853218, 0.8982710838317871]"
75,2,2,"[0.23632176220417023, 0.012825173325836658, 0.7502234578132629, 0.0006295853527262807]"
76,2,2,"[0.0651845932006836, 0.02388138510286808, 0.8931114077568054, 0.01782255433499813]"
77,2,2,"[0.038465674966573715, 0.036514103412628174, 0.9227783679962158, 0.002241823123767972]"
78,2,2,"[0.00111254898365587, 0.10288669914007187, 0.8877398371696472, 0.008260862901806831]"
79,3,3,"[0.0032826350070536137, 0.37070122361183167, 0.017655331641435623, 0.6083608269691467]"
80,2,2,"[0.00903327576816082, 0.03139674291014671, 0.9573493599891663, 0.0022205766290426254]"
81,3,3,"[5.62845598324202e-05, 0.19742976129055023, 0.005117424763739109, 0.7973966002464294]"
