,pred,true,pred prob
0,1,1,"[0.00016368477372452617, 0.9184372425079346, 0.0016942562069743872, 0.07970476895570755]"
1,1,1,"[0.00021743115212302655, 0.9106898903846741, 0.03312234207987785, 0.05597025901079178]"
2,1,1,"[0.0024731564335525036, 0.7300586700439453, 0.004130749963223934, 0.2633373737335205]"
3,3,3,"[0.003973824437707663, 0.01015502866357565, 0.011431781575083733, 0.9744394421577454]"
4,2,2,"[0.007225231267511845, 0.030458498746156693, 0.9408433437347412, 0.021472889930009842]"
5,2,2,"[0.003368823090568185, 0.29977333545684814, 0.6939297914505005, 0.0029280022718012333]"
6,3,3,"[0.003913759719580412, 0.23269322514533997, 0.017094934359192848, 0.74629807472229]"
7,0,0,"[0.866819441318512, 0.10280431807041168, 0.01759442314505577, 0.012781850062310696]"
8,0,0,"[0.8216183185577393, 0.084975965321064, 0.014487149193882942, 0.07891858369112015]"
9,1,1,"[0.005460108630359173, 0.9358354210853577, 0.02381908893585205, 0.034885331988334656]"
10,0,0,"[0.9207996129989624, 0.02391539327800274, 0.013782237656414509, 0.041502777487039566]"
11,2,2,"[0.004339321982115507, 0.0365464873611927, 0.7578814625740051, 0.20123271644115448]"
12,2,2,"[0.0037618919741362333, 0.03402714803814888, 0.9578888416290283, 0.004322165157645941]"
13,3,3,"[0.0028896613512188196, 0.1790279895067215, 0.03578232601284981, 0.7823000550270081]"
14,3,3,"[0.00022535778407473117, 0.10261653363704681, 0.0014107277384027839, 0.8957473635673523]"
15,2,2,"[0.050127070397138596, 0.01161838136613369, 0.9370052814483643, 0.0012493104441091418]"
16,1,1,"[0.012483065947890282, 0.9596495032310486, 0.01454571820795536, 0.013321775011718273]"
17,3,3,"[0.0016365774208679795, 0.3676557242870331, 0.01852327026426792, 0.612184464931488]"
18,3,3,"[0.003700554370880127, 0.21658563613891602, 0.06040894240140915, 0.7193048596382141]"
19,0,0,"[0.7983181476593018, 0.0022539831697940826, 0.19934606552124023, 8.182353485608473e-05]"
20,2,2,"[0.15281063318252563, 0.06687742471694946, 0.7345127463340759, 0.04579918831586838]"
21,0,0,"[0.8983638286590576, 0.019524944946169853, 0.07790042459964752, 0.0042108274064958096]"
22,0,0,"[0.7454566955566406, 0.03263089433312416, 0.20406831800937653, 0.017844142392277718]"
23,2,2,"[0.04514965042471886, 0.008200573734939098, 0.9259935617446899, 0.02065626159310341]"
24,3,3,"[0.00016094974125735462, 0.33050960302352905, 0.12347689270973206, 0.5458526015281677]"
25,0,0,"[0.5202096104621887, 0.18453559279441833, 0.21539311110973358, 0.07986166328191757]"
26,3,3,"[0.0009902447927743196, 0.2662799060344696, 0.02127266675233841, 0.7114571928977966]"
27,3,3,"[0.0006216818001121283, 0.45035624504089355, 0.004497480113059282, 0.5445245504379272]"
28,2,2,"[0.002046112436801195, 0.4180252254009247, 0.5695776343345642, 0.010351061820983887]"
29,0,0,"[0.8913047909736633, 0.03680294752120972, 0.05243707448244095, 0.019455203786492348]"
30,0,0,"[0.841503381729126, 0.03870221599936485, 0.10632714629173279, 0.01346736028790474]"
31,0,0,"[0.8205128908157349, 0.007829157635569572, 0.1712629348039627, 0.00039500094135291874]"
32,3,3,"[0.01180224772542715, 0.053430743515491486, 0.00816598441451788, 0.926600992679596]"
