,pred,true,pred prob
0,2,2,"[0.0010587514843791723, 0.05012897029519081, 0.9444738626480103, 0.004338410217314959]"
1,3,3,"[1.407242780260276e-05, 0.01493044663220644, 0.01099721621721983, 0.9740583300590515]"
2,2,2,"[0.16064412891864777, 0.03612609952688217, 0.8031135201454163, 0.00011625441402429715]"
3,1,0,"[0.4340426027774811, 0.45312604308128357, 0.10403803735971451, 0.008793309330940247]"
4,3,3,"[4.339538950404176e-09, 0.0017155479872599244, 1.9407138097449206e-05, 0.9982650876045227]"
5,3,3,"[0.00010369965457357466, 0.00801104586571455, 0.0009860232239589095, 0.9908992052078247]"
6,2,2,"[7.384429409285076e-06, 0.06093369796872139, 0.9309515357017517, 0.008107345551252365]"
7,3,3,"[2.789820428006351e-07, 0.022707661613821983, 0.02866651862859726, 0.9486255049705505]"
8,2,2,"[0.00014298355381470174, 0.009940916672348976, 0.9890118837356567, 0.0009041493758559227]"
9,2,2,"[2.2311036445898935e-05, 5.346912075765431e-06, 0.9999723434448242, 1.0248358828235382e-09]"
10,1,1,"[2.0311587434207468e-07, 0.6949098110198975, 0.30128464102745056, 0.003805351909250021]"
11,3,3,"[0.05466940253973007, 0.004506620578467846, 0.009280769154429436, 0.9315431714057922]"
12,3,3,"[5.952039145995514e-07, 0.0010677303653210402, 0.00015607163368258625, 0.9987755417823792]"
13,0,1,"[0.6654895544052124, 0.25182250142097473, 0.06686445325613022, 0.015823500230908394]"
14,1,1,"[0.008616629987955093, 0.9913827776908875, 3.428721697673609e-07, 2.5902315314851876e-07]"
15,0,1,"[0.7898917198181152, 0.14938028156757355, 0.019928865134716034, 0.0407990925014019]"
16,3,3,"[5.763893568655476e-06, 0.014738481491804123, 0.00851505994796753, 0.9767407178878784]"
17,3,3,"[0.17355899512767792, 0.05878675729036331, 0.0027410793118178844, 0.7649132013320923]"
18,3,2,"[0.004550209268927574, 0.4349335730075836, 0.052961818873882294, 0.5075544118881226]"
19,2,2,"[9.708458037493983e-07, 5.2467094064923e-05, 0.9999421834945679, 4.360671027825447e-06]"
20,3,3,"[0.014756581746041775, 0.0003553884453140199, 0.00011772608559112996, 0.9847704172134399]"
21,1,1,"[1.2788681488018483e-05, 0.9999767541885376, 5.656199846271193e-06, 4.7319572331616655e-06]"
22,2,2,"[0.0002469336614012718, 0.08100228011608124, 0.9086642861366272, 0.010086482390761375]"
23,0,1,"[0.5039272904396057, 0.4960121810436249, 3.899681905750185e-05, 2.1529105652007274e-05]"
24,3,3,"[1.248163516720524e-05, 0.0027320024091750383, 0.0003625529643613845, 0.9968929290771484]"
25,2,2,"[2.6346504455432296e-05, 0.1918175369501114, 0.8078208565711975, 0.0003352403873577714]"
26,1,1,"[0.0003111325786449015, 0.795465886592865, 0.051766663789749146, 0.15245631337165833]"
27,2,2,"[0.02635020762681961, 1.3517876141122542e-05, 0.9736363291740417, 1.0483527379534507e-09]"
28,2,2,"[0.0002302768116351217, 0.060159530490636826, 0.9388827085494995, 0.0007275892421603203]"
29,1,1,"[2.2112335500423796e-06, 0.9999649524688721, 2.6284744308213703e-05, 6.5632129917503335e-06]"
