,pred,true,pred prob
0,0,0,"[0.9999649524688721, 3.314923378638923e-05, 1.398840709043725e-06, 4.3255698756183847e-07]"
1,0,0,"[0.9970293045043945, 6.728187713633815e-07, 0.0029690933879464865, 8.448428729934676e-07]"
2,1,1,"[6.75348721390634e-10, 0.9999994039535522, 3.4080349564646895e-07, 1.839666765590664e-07]"
3,1,1,"[6.356823689657176e-08, 0.9999921321868896, 7.835512860765448e-07, 7.038194326014491e-06]"
4,2,2,"[1.0559850736890919e-11, 1.8321804873266956e-06, 0.9999980926513672, 2.3759019640579027e-08]"
5,3,3,"[3.787639906577267e-12, 5.8461861044634134e-05, 5.647996204061201e-07, 0.9999409914016724]"
6,3,3,"[5.046125011176628e-07, 4.347197091192356e-08, 4.036111000971232e-09, 0.9999995231628418]"
7,2,2,"[1.2139443015257712e-06, 0.0028159923385828733, 0.9971827268600464, 7.895681619629613e-08]"
8,2,2,"[1.8981159882969223e-05, 1.573632459894725e-07, 0.9999809265136719, 2.2239949055410718e-15]"
9,0,0,"[0.9994945526123047, 6.464822945417836e-06, 0.0004990278976038098, 1.9418935792714365e-08]"
10,2,2,"[1.0438958725211833e-12, 0.0005711098201572895, 0.9994288086891174, 7.1850752014768204e-09]"
11,0,0,"[0.9997937083244324, 3.7057138797536027e-06, 0.0002025736030191183, 1.929866932925961e-08]"
12,3,3,"[3.289099682499979e-33, 1.2311423915889463e-06, 8.246169080905474e-09, 0.9999988079071045]"
13,0,0,"[0.9537880420684814, 0.0013274340890347958, 0.044884487986564636, 4.671800168942752e-10]"
14,3,3,"[2.082574792439118e-05, 7.656335583305918e-07, 1.1466494953538131e-07, 0.9999783039093018]"
15,3,3,"[4.058277151830492e-15, 3.2635936804581434e-05, 4.4304119484195326e-08, 0.9999673366546631]"
16,1,1,"[5.609125021551441e-15, 0.998424768447876, 5.399483598012011e-07, 0.0015747074503451586]"
17,3,3,"[2.2938787935800065e-07, 6.079499144107103e-07, 3.1033264349389356e-06, 0.9999960660934448]"
18,1,1,"[6.241944077598957e-16, 0.9986629486083984, 7.454774276993703e-06, 0.001329546794295311]"
19,2,2,"[3.324979388708016e-06, 9.083909390028566e-06, 0.9999570846557617, 3.051826206501573e-05]"
20,3,3,"[2.2092736846760289e-16, 0.00020494198543019593, 1.200615002971972e-07, 0.9997949004173279]"
21,2,2,"[8.98502084366315e-13, 0.022218748927116394, 0.9777812361717224, 2.629999551473361e-10]"
22,0,0,"[0.9997801184654236, 0.00021986488718539476, 1.7663871667433773e-12, 1.5795538210738869e-09]"
23,3,3,"[5.135388208427072e-12, 1.9648744853384414e-07, 8.329265228923521e-12, 0.9999997615814209]"
24,3,3,"[2.1210196955983446e-13, 7.049168193606903e-11, 1.6082727163913013e-11, 1.0]"
25,1,1,"[6.653920081589604e-06, 0.9999865293502808, 8.259015089606692e-07, 5.9754725043603685e-06]"
26,2,2,"[3.71059953596653e-11, 7.428745448123664e-05, 0.9999254941940308, 2.395606486516044e-07]"
27,3,3,"[4.614546277457546e-20, 7.310334331123158e-05, 7.04290847863831e-09, 0.9999269247055054]"
28,0,0,"[0.9999747276306152, 2.0627053345378954e-06, 2.330405914108269e-05, 1.4967758144024401e-09]"
29,3,3,"[1.3415707433850343e-09, 0.00042926237802021205, 2.6114796014553576e-07, 0.9995705485343933]"
30,3,3,"[4.270403953855241e-16, 2.9764381906716153e-05, 0.000104542363260407, 0.9998656511306763]"
31,2,2,"[1.6394498876960012e-13, 3.642861338448711e-05, 0.9999635219573975, 1.4404029968773102e-08]"
32,3,3,"[5.704937962036638e-07, 4.47961724603374e-07, 2.0769803654729913e-09, 0.999998927116394]"
33,2,2,"[1.0054524324232261e-08, 4.0124695233068053e-10, 1.0, 1.781176880386601e-15]"
34,3,3,"[1.4304124551500763e-09, 1.385399439612911e-08, 2.0815861534462243e-10, 1.0]"
35,1,1,"[0.005477346945554018, 0.9945226907730103, 1.2266434090690836e-08, 9.102781639569457e-09]"
36,0,0,"[0.9955109357833862, 1.783756488293875e-05, 0.00019681961566675454, 0.004274458158761263]"
37,3,3,"[5.0016891670057184e-12, 1.5538131265202537e-05, 2.9673472454305738e-05, 0.9999548196792603]"
38,3,3,"[9.510268546920906e-29, 1.0898027539951727e-05, 1.8350775690123555e-06, 0.9999873638153076]"
39,0,0,"[0.9212378859519958, 0.008582615293562412, 0.0001301764277741313, 0.07004936784505844]"
40,0,0,"[0.9876022934913635, 0.012397590093314648, 6.686191184046564e-11, 7.832108650518421e-08]"
41,2,2,"[1.8661222740690153e-13, 0.0001462900108890608, 0.9998457431793213, 7.911266038718168e-06]"
42,2,2,"[1.919507419189477e-16, 4.371811712644558e-08, 1.0, 5.461828767039378e-09]"
43,0,0,"[0.9999881982803345, 4.776337050316215e-07, 1.127948326029582e-05, 1.985906174760425e-18]"
44,2,2,"[7.362971343738423e-11, 1.6589621736784466e-05, 0.999982476234436, 9.252029826711805e-07]"
45,1,1,"[4.0968797065943363e-07, 0.9992244243621826, 0.0007751154480502009, 6.564117196843078e-13]"
46,3,3,"[1.6516674485755499e-15, 9.444038732908666e-05, 8.442111152362486e-07, 0.9999047517776489]"
47,2,2,"[0.001572221633978188, 1.0782805475173518e-06, 0.9984266757965088, 1.5995590404516494e-14]"
48,3,3,"[1.5083704684587529e-12, 5.8595116570359096e-05, 2.3637804602572032e-08, 0.999941349029541]"
49,3,3,"[1.180152321467176e-05, 1.3482801364261832e-07, 1.2527021198138755e-08, 0.9999880790710449]"
50,0,0,"[0.9999265670776367, 6.939735452959894e-09, 7.34411078155972e-05, 6.993302218241161e-15]"
51,1,1,"[1.4582648866223735e-08, 0.9972180128097534, 0.0025774252135306597, 0.0002045824658125639]"
52,1,1,"[4.0711535705117985e-12, 0.9999998807907104, 3.9019462660938586e-10, 6.967836441162945e-08]"
53,2,2,"[7.365275905613089e-06, 1.4458296959674044e-07, 0.9999924898147583, 8.959230113434608e-15]"
54,1,1,"[2.0582231123437988e-13, 0.9999010562896729, 9.7785668913275e-05, 1.1354114803907578e-06]"
55,3,3,"[7.29750340155988e-08, 4.2900649077637354e-07, 4.671704800784937e-07, 0.999998927116394]"
56,3,3,"[1.924690943189318e-14, 2.8408185244188644e-05, 3.364765916558099e-06, 0.9999682903289795]"
57,3,3,"[5.824039703838935e-07, 0.0001272177032660693, 0.00020541247795335948, 0.999666690826416]"
58,0,0,"[0.9999921321868896, 1.6837762473187468e-07, 7.7225531640579e-06, 7.628324512863605e-14]"
59,1,1,"[3.592854724843164e-08, 0.9998983144760132, 6.205954150573234e-08, 0.00010152065806323662]"
60,3,3,"[8.638878275698646e-18, 5.2455496188485995e-05, 3.2787900181574514e-06, 0.9999442100524902]"
61,3,3,"[2.5172802210760015e-12, 6.0023839978384785e-06, 3.810856469499413e-06, 0.9999902248382568]"
62,0,0,"[0.9999978542327881, 4.0849619153959793e-07, 5.171025829753262e-09, 1.6868660850377637e-06]"
63,0,0,"[0.9988064765930176, 0.00048098620027303696, 0.0007124392432160676, 5.88175286253545e-10]"
64,1,1,"[8.500734144378796e-11, 0.999197781085968, 9.245253750123084e-05, 0.0007098517380654812]"
65,3,3,"[6.189574150994304e-07, 1.8886374164139852e-05, 9.366108315589372e-07, 0.9999796152114868]"
66,1,1,"[2.7540800195957615e-10, 0.9999812841415405, 6.087870588089572e-06, 1.2605210031324532e-05]"
67,1,1,"[1.5774535906660548e-19, 0.9999995231628418, 7.914268351782994e-09, 5.136115532877739e-07]"
68,2,2,"[2.4257078984346592e-11, 2.8923790523549542e-05, 0.9999710321426392, 5.958307736086965e-10]"
69,1,1,"[5.456458040953294e-08, 0.9999998807907104, 6.182428458068046e-10, 8.136040463568861e-08]"
70,0,0,"[0.9999992847442627, 2.788588249202917e-10, 6.6406124688001e-07, 1.5233359007809505e-13]"
71,3,3,"[1.903765629502111e-15, 6.861680503789103e-06, 6.57768310929896e-08, 0.9999929666519165]"
72,2,2,"[2.6497466024011374e-05, 2.9730493622537324e-08, 0.9999735355377197, 7.182336669853129e-11]"
73,2,2,"[1.9429267916759585e-10, 0.0020240521989762783, 0.9977791905403137, 0.00019680675177369267]"
74,0,0,"[0.999997615814209, 2.0097068045288324e-06, 1.4473592102604016e-08, 4.0139585166798497e-07]"
