,pred,true,pred prob
151_0,2,2,"[1.0740532019326565e-08, 3.088880063187305e-13, 1.0, 9.487483058022699e-15]"
408_0_1,1,1,"[1.2150868372679053e-32, 1.0, 7.370554629420617e-24, 4.427904542320376e-15]"
754_2_0,2,2,"[2.3765797668991713e-21, 3.763498302063184e-13, 1.0, 6.516244488441458e-11]"
688_0_0,3,3,"[5.667102204176544e-12, 3.301648190956463e-11, 1.9522428118534663e-09, 1.0]"
940_0,1,1,"[6.147421913738071e-07, 0.9999924898147583, 6.453670930994804e-11, 6.931869847903727e-06]"
1003_2_1,1,1,"[8.29900438734793e-13, 0.9999998807907104, 4.219413232175022e-17, 1.6731382856960408e-07]"
112_1,2,2,"[1.5557376438940943e-19, 1.7426378807854082e-13, 1.0, 5.407998957887714e-27]"
921_1_2,1,1,"[7.0751891284169706e-15, 0.9999978542327881, 1.8983857454774045e-12, 2.1074570213386323e-06]"
489_2_0,2,2,"[4.431707959539928e-37, 1.2512851860435323e-29, 1.0, 6.992724620264033e-37]"
571_1_2,3,3,"[1.3353972789783108e-18, 2.7897568699586373e-09, 1.6992292379484734e-14, 1.0]"
786_0,1,1,"[1.5634669947584e-10, 1.0, 1.3167764621735412e-11, 2.1194537791480172e-10]"
371_1,1,1,"[6.707524869131246e-20, 1.0, 2.662405343932528e-13, 5.188011912432566e-12]"
988_0_2,2,2,"[1.8586131618201812e-16, 1.9461244285734864e-23, 1.0, 1.6447407328081908e-35]"
695_0_0,1,1,"[6.834015575662988e-09, 1.0, 8.184387195742104e-11, 3.287653829731063e-11]"
560_2_1,2,2,"[4.229998822948208e-26, 5.21996668249804e-18, 1.0, 5.093789117314698e-21]"
16,1,1,"[1.2516523408001579e-11, 1.0, 1.5506921968722054e-08, 1.97284709558133e-15]"
57_1_1,3,3,"[7.726931074147902e-12, 1.1398162382198537e-15, 1.0248232262810575e-09, 1.0]"
48_2_2,2,2,"[1.2190561060609895e-10, 2.5815845771867685e-13, 1.0, 7.780450762828739e-12]"
302,0,0,"[0.9998643398284912, 0.0001298318529734388, 1.378752358505153e-06, 4.384525254863547e-06]"
551_2_2,3,3,"[1.6190774942970165e-07, 1.0054809632467632e-12, 1.0947098533654193e-13, 0.9999998807907104]"
675_0_2,1,1,"[5.117313681571309e-22, 1.0, 6.976336571824131e-15, 4.2211600192013534e-21]"
