,pred,true,pred prob
0,0,1,"[0.4709252119064331, 0.45656195282936096, 0.002145989565178752, 0.07036680728197098]"
1,3,3,"[3.4577344194985926e-05, 0.0020410181023180485, 1.0484644917596597e-05, 0.9979138970375061]"
2,2,2,"[0.12098266184329987, 0.0021076102275401354, 0.8768395185470581, 7.020015618763864e-05]"
3,0,0,"[0.9784253239631653, 0.00011806136171799153, 0.020076259970664978, 0.0013804319314658642]"
4,2,2,"[0.1445920169353485, 0.06657664477825165, 0.7885481119155884, 0.0002832331520039588]"
5,3,3,"[0.004947338253259659, 0.02353193238377571, 0.0025314262602478266, 0.9689892530441284]"
6,2,2,"[0.002444054000079632, 0.01353225763887167, 0.9810895323753357, 0.0029342188499867916]"
7,2,2,"[0.0011871627066284418, 0.054631296545267105, 0.6180981993675232, 0.32608333230018616]"
8,1,1,"[0.0007460907218046486, 0.8636261224746704, 0.007959200069308281, 0.12766851484775543]"
9,1,1,"[2.3937793230288662e-05, 0.9844849109649658, 0.001800930011086166, 0.013690246269106865]"
10,2,2,"[0.0029619699344038963, 0.023221813142299652, 0.9470497965812683, 0.026766395196318626]"
11,2,2,"[0.08810903877019882, 0.002124928869307041, 0.9097622036933899, 3.749915777007118e-06]"
12,3,3,"[0.00043621179065667093, 0.02186179719865322, 0.00896151177585125, 0.9687404036521912]"
13,3,3,"[0.007071635685861111, 0.01663447916507721, 0.002406015759333968, 0.9738878011703491]"
14,3,3,"[0.0002882765547838062, 0.012223714962601662, 0.0017786374082788825, 0.9857093095779419]"
15,2,2,"[0.0332307405769825, 0.0590827539563179, 0.9075249433517456, 0.00016153758042491972]"
16,1,1,"[0.0006944541819393635, 0.9600715637207031, 0.016746003180742264, 0.02248796820640564]"
17,3,3,"[0.0027320063672959805, 0.020041167736053467, 0.014990825206041336, 0.9622359871864319]"
18,0,0,"[0.9573043584823608, 0.026429742574691772, 0.009889591485261917, 0.006376340053975582]"
19,0,0,"[0.976597011089325, 0.016081733629107475, 0.004611854907125235, 0.002709435299038887]"
20,2,2,"[4.121537585888291e-06, 0.00032254852703772485, 0.9996262788772583, 4.692486982094124e-05]"
21,0,0,"[0.6988435387611389, 5.024674010201124e-07, 0.3011557459831238, 2.758463608643069e-07]"
