,pred,true,pred prob
0,3,3,"[0.001034002983942628, 0.009311038069427013, 0.1356731504201889, 0.8539817333221436]"
1,2,2,"[0.005488303489983082, 0.09073037654161453, 0.8669859766960144, 0.03679531067609787]"
2,0,0,"[0.9248931407928467, 0.0001276923285331577, 0.07489677518606186, 8.237230213126168e-05]"
3,2,2,"[0.010761614888906479, 0.06926793605089188, 0.9171310663223267, 0.002839423483237624]"
4,3,3,"[0.002250285819172859, 0.03915875777602196, 0.18295833468437195, 0.7756326198577881]"
5,1,1,"[0.000907468085642904, 0.9749886393547058, 0.023755118250846863, 0.0003488316433504224]"
6,2,2,"[0.0004209072212688625, 0.016186045482754707, 0.9832803010940552, 0.00011275921860942617]"
7,0,0,"[0.9886448383331299, 0.0034162558149546385, 0.00790943019092083, 2.948823203041684e-05]"
8,2,2,"[5.699731264030561e-05, 0.0002749852428678423, 0.999272882938385, 0.00039524753810837865]"
9,3,3,"[0.0012872093357145786, 0.006598429288715124, 0.09484957903623581, 0.897264838218689]"
10,3,3,"[0.0010254689259454608, 0.01958930678665638, 0.010989862494170666, 0.9683954119682312]"
11,1,1,"[0.005920890718698502, 0.8873344659805298, 0.10198788344860077, 0.004756734240800142]"
12,2,2,"[0.02910841815173626, 0.01537243276834488, 0.8577518463134766, 0.09776733815670013]"
13,1,1,"[0.00251516280695796, 0.950090229511261, 0.043268781155347824, 0.0041258507408201694]"
14,0,0,"[0.9590912461280823, 0.004948376212269068, 0.0342898853123188, 0.0016704123700037599]"
15,0,0,"[0.8578065633773804, 0.1071128100156784, 0.021305546164512634, 0.013775068335235119]"
16,2,2,"[0.00021120577002875507, 0.00343815004453063, 0.9848441481590271, 0.01150649692863226]"
17,1,1,"[0.0006584585644304752, 0.9475389719009399, 0.035985466092824936, 0.015817124396562576]"
18,2,2,"[0.10066144913434982, 0.0018316081259399652, 0.8975026607513428, 4.349678420112468e-06]"
19,0,0,"[0.6937217116355896, 0.01839873008430004, 0.2769523561000824, 0.010927188210189342]"
20,2,2,"[0.004237193614244461, 0.009044834412634373, 0.9855577349662781, 0.0011603181483224034]"
21,3,3,"[0.00011985930905211717, 2.2210428141988814e-05, 0.0027833261992782354, 0.9970746040344238]"
22,1,1,"[5.626843631034717e-06, 0.9736776947975159, 0.025947928428649902, 0.0003687645075842738]"
23,1,1,"[0.005970847327262163, 0.9932426810264587, 0.00027121842140331864, 0.0005152602097950876]"
24,2,2,"[0.0010254033841192722, 0.02469365857541561, 0.9715373516082764, 0.0027435540687292814]"
25,0,0,"[0.9271750450134277, 0.04880918562412262, 0.019472366198897362, 0.0045434050261974335]"
26,1,1,"[0.00025109341368079185, 0.996174156665802, 0.0024171259719878435, 0.0011576254619285464]"
27,1,1,"[5.959771897323662e-06, 0.9993051290512085, 0.0006155400769785047, 7.335159170906991e-05]"
28,3,3,"[0.0005957254907116294, 0.011906956322491169, 0.00849384255707264, 0.9790034890174866]"
29,1,1,"[0.07528909295797348, 0.7668927907943726, 0.10897835344076157, 0.04883971065282822]"
30,0,0,"[0.9919624924659729, 0.0042550405487418175, 0.0037814697716385126, 1.0117015563082532e-06]"
31,1,1,"[0.00298477103933692, 0.9562742710113525, 0.028079872950911522, 0.012661019340157509]"
32,2,2,"[0.04689846932888031, 0.03926333039999008, 0.8497990965843201, 0.06403913348913193]"
33,0,0,"[0.9914448857307434, 0.0006550441030412912, 0.007899690419435501, 4.7035689476615516e-07]"
34,2,2,"[9.659413990448229e-06, 0.00440006610006094, 0.9932388067245483, 0.002351410686969757]"
35,0,0,"[0.9493576884269714, 0.002740934956818819, 0.04789881780743599, 2.5560398171364795e-06]"
36,3,3,"[0.023225968703627586, 0.07060274481773376, 0.11975102871656418, 0.7864202260971069]"
37,0,0,"[0.9932918548583984, 0.0028074276633560658, 0.002168734557926655, 0.0017319468315690756]"
38,1,1,"[8.05875170044601e-05, 0.9891442656517029, 0.010626647621393204, 0.00014850143634248525]"
39,3,3,"[0.0011383095989003778, 0.15203659236431122, 0.06810539215803146, 0.7787196636199951]"
40,0,0,"[0.8259560465812683, 0.12930823862552643, 0.04338692128658295, 0.0013487553223967552]"
