,pred,true,pred prob
0,1,1,"[0.0005533808143809438, 0.8964625597000122, 0.0015510480152443051, 0.10143299400806427]"
1,3,3,"[0.001615937682799995, 0.07466226816177368, 0.03555833548307419, 0.8881634473800659]"
2,0,0,"[0.9714824557304382, 0.0011220475425943732, 0.02599402703344822, 0.0014014857588335872]"
3,3,3,"[0.005295646842569113, 0.0008595535182394087, 0.000868779665324837, 0.9929760694503784]"
4,2,2,"[0.26482143998146057, 0.0014346985844895244, 0.7241272330284119, 0.009616577066481113]"
5,2,2,"[0.1396551877260208, 0.004793435800820589, 0.8515611290931702, 0.003990311175584793]"
6,0,0,"[0.9980625510215759, 2.8551696232170798e-05, 0.001579736708663404, 0.00032908888533711433]"
7,1,1,"[0.2875668406486511, 0.6722747087478638, 0.02320200949907303, 0.016956470906734467]"
8,1,1,"[0.001474318909458816, 0.7775359749794006, 0.11494478583335876, 0.10604488104581833]"
9,0,0,"[0.9592176675796509, 0.016911011189222336, 0.005807006265968084, 0.018064239993691444]"
10,2,2,"[0.22746405005455017, 0.04943731799721718, 0.7013632655143738, 0.021735358983278275]"
11,3,3,"[0.0008745511877350509, 0.029693584889173508, 0.014788067899644375, 0.9546438455581665]"
12,2,2,"[0.0013087153201922774, 0.006334279198199511, 0.9822360277175903, 0.010120943188667297]"
13,3,3,"[0.004175958223640919, 0.02118697762489319, 0.060182347893714905, 0.9144547581672668]"
14,2,2,"[0.11319328099489212, 0.001646069111302495, 0.879906415939331, 0.00525417597964406]"
15,0,0,"[0.9470343589782715, 0.013214505277574062, 0.03298509865999222, 0.006766051985323429]"
16,2,2,"[0.0006763996207155287, 0.008225458674132824, 0.9907916784286499, 0.0003064522461500019]"
17,1,1,"[0.048925984650850296, 0.8601590394973755, 0.08546508848667145, 0.005449977237731218]"
18,2,2,"[0.0019870903342962265, 0.07797444611787796, 0.918114960193634, 0.0019234918290749192]"
19,1,1,"[0.013466858305037022, 0.9699980616569519, 0.00020755130390170962, 0.016327548772096634]"
20,2,2,"[0.2630677819252014, 0.0006686431588605046, 0.736044704914093, 0.00021891819778829813]"
21,3,3,"[0.01413656771183014, 0.00537489028647542, 0.044100575149059296, 0.9363879561424255]"
22,1,1,"[0.003025868209078908, 0.8955789804458618, 0.023697439581155777, 0.0776977464556694]"
