,pred,true,pred prob
0,0,0,"[0.9464550614356995, 0.0007357980939559639, 0.052808888256549835, 2.4194733327931317e-07]"
1,2,2,"[2.2100404351022007e-07, 0.0007091945153661072, 0.9992876648902893, 2.8911726985825226e-06]"
2,1,1,"[0.002424822188913822, 0.816953718662262, 0.15201565623283386, 0.028605781495571136]"
3,3,3,"[1.8923891786926106e-07, 0.27430692315101624, 0.11067884415388107, 0.6150140762329102]"
4,3,3,"[1.8878461105487077e-07, 0.015523293986916542, 0.0010973875178024173, 0.983379065990448]"
5,1,1,"[4.963768151355907e-05, 0.9974119067192078, 0.001515864860266447, 0.0010226400336250663]"
6,0,0,"[0.9938111901283264, 8.390827477278151e-10, 0.006188838742673397, 7.796855175379314e-12]"
7,2,2,"[1.6713727291062241e-07, 0.015882767736911774, 0.9840081930160522, 0.00010890917474171147]"
8,3,3,"[0.0003021054435521364, 0.43094757199287415, 0.05067332461476326, 0.51807701587677]"
9,2,2,"[0.017688654363155365, 0.011754617094993591, 0.9688555598258972, 0.0017011930467560887]"
10,1,1,"[2.5643225320948204e-09, 0.9999874830245972, 1.0645138900144957e-05, 1.8936671040137298e-06]"
11,2,3,"[0.26130014657974243, 0.12201058864593506, 0.42615872621536255, 0.19053058326244354]"
12,1,1,"[0.009055509231984615, 0.9611340761184692, 0.022200508043169975, 0.007609938271343708]"
13,2,0,"[0.34896591305732727, 0.007497989572584629, 0.6395261287689209, 0.004009994678199291]"
14,2,2,"[5.871882967767306e-05, 0.0013725003227591515, 0.9983859062194824, 0.00018289161380380392]"
15,1,3,"[0.05655568465590477, 0.5643448829650879, 0.06067481264472008, 0.3184245526790619]"
16,0,0,"[0.8889208436012268, 0.014800569042563438, 0.08809980750083923, 0.008178788237273693]"
17,2,2,"[2.3622371827514144e-06, 0.002359135076403618, 0.9940901398658752, 0.0035483608953654766]"
18,3,3,"[1.669877125465291e-09, 0.08655740320682526, 0.0003965069481637329, 0.9130460619926453]"
19,2,2,"[3.3525093385833316e-06, 0.00042558120912872255, 0.9995176792144775, 5.338910341379233e-05]"
20,3,3,"[2.641571370531892e-07, 0.23073264956474304, 0.011585770174860954, 0.7576813101768494]"
21,2,2,"[1.2456469278276927e-07, 0.022091707214713097, 0.9779077172279358, 3.767003136090352e-07]"
22,2,2,"[2.417227051410009e-06, 0.0023795361630618572, 0.9960827827453613, 0.0015352711779996753]"
23,2,1,"[1.33668299895362e-05, 0.2882247567176819, 0.7091941833496094, 0.002567705698311329]"
24,3,3,"[1.6520609278813936e-05, 0.05990824103355408, 0.0029138887766748667, 0.9371613264083862]"
25,1,1,"[1.0835877972681374e-08, 0.9445691108703613, 0.0022452904377132654, 0.05318554863333702]"
26,0,0,"[0.8499132394790649, 6.395926902769133e-05, 0.1500222384929657, 6.01495173668809e-07]"
27,1,1,"[2.3287360818358138e-05, 0.8171114921569824, 0.12481116503477097, 0.058054063469171524]"
