,pred,true,pred prob
0,2,2,"[1.1654910281322373e-07, 0.23562534153461456, 0.7643744945526123, 5.133629343845314e-08]"
1,2,2,"[4.253649967722595e-05, 6.645661798643232e-11, 0.9999574422836304, 1.1839713237593585e-11]"
2,3,3,"[9.985900961109653e-15, 5.663498559016489e-10, 3.9593680981400703e-13, 1.0]"
3,2,2,"[9.965951619506086e-09, 2.122811648685996e-10, 1.0, 7.249526673414053e-11]"
4,0,0,"[0.9994722008705139, 8.402519597439095e-06, 0.0005193583783693612, 4.724669011579863e-08]"
5,1,1,"[0.0007300950237549841, 0.9958800077438354, 0.0016008545644581318, 0.0017890256131067872]"
6,2,2,"[4.011700260181383e-12, 1.1574793901125702e-10, 1.0, 5.383473538578764e-16]"
7,0,0,"[0.9539163708686829, 0.00012203777441754937, 0.0459616556763649, 8.067603474160023e-09]"
8,3,3,"[4.094586358860397e-08, 7.453479611285729e-06, 1.5256385665907146e-07, 0.9999922513961792]"
9,3,3,"[1.4817807436448293e-17, 3.841143028648908e-11, 7.438910025816753e-17, 1.0]"
10,2,2,"[4.224021949994494e-07, 2.423751084279502e-07, 0.9999992847442627, 3.254569058697143e-09]"
11,3,3,"[1.385779546669852e-10, 1.2386051366775064e-06, 7.469103735502358e-08, 0.9999986886978149]"
12,3,3,"[1.2930964077284557e-09, 1.4911445305187954e-06, 4.525035901536967e-10, 0.9999984502792358]"
13,3,3,"[2.177896476496244e-06, 3.6238057532500534e-07, 1.419537056790432e-07, 0.9999973773956299]"
14,2,2,"[0.00010859554458875209, 4.553008693619631e-05, 0.9998444318771362, 1.439818447579455e-06]"
15,1,1,"[1.2780940585391254e-12, 0.9999995231628418, 5.058310534877819e-07, 5.4852327124876865e-09]"
16,2,2,"[1.992118825455691e-07, 6.42319832877547e-07, 0.9999991655349731, 8.522258454490839e-09]"
17,2,2,"[0.005526870954781771, 1.2754905583278742e-05, 0.9944455623626709, 1.4763530089112464e-05]"
18,2,2,"[1.9795841126324376e-06, 0.020869461819529533, 0.9785467982292175, 0.0005817703204229474]"
19,2,2,"[1.2202738162159221e-06, 4.641224904400332e-10, 0.9999988079071045, 1.3798952258614605e-10]"
20,1,1,"[5.192605234682901e-10, 0.9999914169311523, 8.630396223452408e-06, 5.764119216655761e-12]"
21,3,3,"[7.727441797555912e-09, 9.366291919832292e-08, 1.236490874134688e-07, 0.9999997615814209]"
22,2,2,"[7.652605220516417e-14, 4.585362461500793e-15, 1.0, 7.195757492195042e-15]"
23,2,2,"[0.0011066740844398737, 4.251723140225039e-10, 0.9988933205604553, 5.487988468072351e-14]"
24,3,3,"[0.016559302806854248, 8.683721534907818e-05, 0.007651403080672026, 0.9757023453712463]"
25,2,2,"[2.3534163506866435e-10, 3.1023010826913833e-09, 1.0, 6.055326053945598e-14]"
26,3,3,"[1.8653431577142499e-10, 3.759817843729252e-07, 4.654916483559646e-05, 0.999953031539917]"
27,2,2,"[0.0005880505777895451, 0.0005018874071538448, 0.9987974166870117, 0.00011257659207331017]"
28,0,0,"[0.9999648332595825, 3.51775306626223e-05, 1.810757233045024e-08, 2.000046378514142e-10]"
29,2,2,"[5.637245067191543e-06, 1.0255321285512764e-05, 0.9999798536300659, 4.334663572080899e-06]"
30,3,3,"[2.4709889689944475e-09, 7.976556304356563e-09, 1.7245505024021668e-10, 1.0]"
