,pred,true,pred prob
0,3,1,"[1.0015686711994931e-05, 0.4587970972061157, 0.05086764320731163, 0.4903252422809601]"
1,0,0,"[0.9363274574279785, 0.05839669704437256, 0.0009842711733654141, 0.004291564226150513]"
2,3,1,"[0.0001885719393612817, 0.3838886320590973, 0.0559038408100605, 0.5600188970565796]"
3,2,2,"[6.576340820174664e-05, 0.18670763075351715, 0.7525869011878967, 0.06063973531126976]"
4,3,1,"[0.18462114036083221, 0.26529309153556824, 0.17745211720466614, 0.3726336359977722]"
5,3,3,"[0.009198373183608055, 0.2795518636703491, 0.009751146659255028, 0.7014986276626587]"
6,0,0,"[0.9769383072853088, 0.020241644233465195, 0.0003012414672411978, 0.0025186992716044188]"
7,0,3,"[0.6738617420196533, 0.09655740112066269, 0.026624616235494614, 0.20295625925064087]"
8,3,3,"[0.1846848428249359, 0.1143387109041214, 0.03252434358000755, 0.6684520840644836]"
9,0,3,"[0.5080720782279968, 0.05384981632232666, 0.26094722747802734, 0.17713090777397156]"
10,3,3,"[0.14896057546138763, 0.029202455654740334, 0.032922323793172836, 0.7889146208763123]"
11,3,1,"[0.14092864096164703, 0.1823083758354187, 0.08143379539251328, 0.5953291654586792]"
12,0,3,"[0.6650880575180054, 0.09125549346208572, 0.056502565741539, 0.18715395033359528]"
13,3,3,"[0.16148456931114197, 0.15586771070957184, 0.05003274604678154, 0.6326149702072144]"
14,1,1,"[0.0001559218653710559, 0.7393850684165955, 0.24131903052330017, 0.01913999766111374]"
15,3,3,"[0.005784409120678902, 0.027161888778209686, 0.013309364207088947, 0.9537443518638611]"
16,0,2,"[0.8430120348930359, 0.0016858134185895324, 0.1550685465335846, 0.00023359607439488173]"
17,3,3,"[0.0011253514094278216, 0.3225937485694885, 0.09463505446910858, 0.5816459059715271]"
18,1,1,"[0.0009011690854094923, 0.6125612854957581, 0.03696925565600395, 0.3495682179927826]"
19,2,2,"[3.008447492902633e-06, 0.0947064682841301, 0.7533309459686279, 0.15195952355861664]"
20,2,2,"[0.0013104374520480633, 0.06406915932893753, 0.9230386018753052, 0.011581892147660255]"
21,2,0,"[0.1871279776096344, 0.016052672639489174, 0.780601441860199, 0.016217870637774467]"
22,1,1,"[3.441692388150841e-05, 0.6121441721916199, 0.06164354085922241, 0.32617783546447754]"
23,1,1,"[0.00014384071982931346, 0.4717366397380829, 0.42706194519996643, 0.10105752944946289]"
