,pred,true,pred prob
0,3,3,"[0.016388218849897385, 0.029803121462464333, 0.15107427537441254, 0.802734375]"
1,3,3,"[0.016077052801847458, 0.042777031660079956, 0.06855906546115875, 0.8725867867469788]"
2,1,1,"[0.005284808110445738, 0.748261034488678, 0.04493022710084915, 0.20152390003204346]"
3,0,0,"[0.7982871532440186, 0.17530016601085663, 0.020157132297754288, 0.006255590822547674]"
4,1,1,"[0.00044715224066749215, 0.9343873262405396, 0.0017243610927835107, 0.0634412094950676]"
5,0,0,"[0.7258139252662659, 0.15151728689670563, 0.11506152153015137, 0.00760723976418376]"
6,0,0,"[0.6949346661567688, 0.2728606164455414, 0.00931769609451294, 0.02288699336349964]"
7,3,3,"[0.00010266007302561775, 0.1674100160598755, 0.010859695263206959, 0.821627676486969]"
8,0,0,"[0.8992648720741272, 0.028990037739276886, 0.0717073380947113, 3.777150413952768e-05]"
9,0,0,"[0.9925863146781921, 0.004602098371833563, 0.0027454395312815905, 6.620176282012835e-05]"
10,2,2,"[5.7154866226483136e-05, 0.34304237365722656, 0.6553263068199158, 0.0015741799725219607]"
11,3,3,"[0.0004662874271161854, 0.018705997616052628, 0.05496237054467201, 0.9258652925491333]"
12,2,2,"[0.004991080146282911, 0.2540084421634674, 0.7354223132133484, 0.005578132346272469]"
13,3,3,"[0.0014498172095045447, 0.06108983978629112, 0.15267330408096313, 0.7847869992256165]"
14,1,1,"[0.00021474099776241928, 0.8020537495613098, 0.18060855567455292, 0.01712292619049549]"
15,0,0,"[0.7601122856140137, 0.01842433586716652, 0.22115744650363922, 0.00030596405849792063]"
16,3,3,"[0.0610370859503746, 0.3720235228538513, 0.0053409794345498085, 0.5615983605384827]"
17,0,0,"[0.8965403437614441, 0.022770855575799942, 0.08034403622150421, 0.0003447987837716937]"
18,3,3,"[0.08868759870529175, 0.10012178868055344, 0.013575943186879158, 0.7976146340370178]"
19,2,2,"[0.23253242671489716, 0.08858046680688858, 0.6723028421401978, 0.006584255490452051]"
20,1,1,"[0.02050357311964035, 0.9632986783981323, 0.011548757553100586, 0.004649007692933083]"
21,2,2,"[0.0026171081699430943, 0.006296002306044102, 0.9908459782600403, 0.00024088085046969354]"
22,3,3,"[0.001069128978997469, 0.09776849299669266, 0.05607560649514198, 0.8450868129730225]"
23,2,2,"[0.007322999183088541, 0.06795505434274673, 0.8765978813171387, 0.048124101012945175]"
24,0,0,"[0.9676910638809204, 0.024536026641726494, 0.002758445218205452, 0.005014474503695965]"
25,2,2,"[0.006790416780859232, 0.11585143953561783, 0.8644400238990784, 0.012918154709041119]"
26,2,2,"[0.009047211147844791, 0.004676378332078457, 0.9862520098686218, 2.4391061742790043e-05]"
27,1,1,"[0.00027663185028359294, 0.9403510093688965, 0.006827120669186115, 0.05254518240690231]"
28,3,3,"[0.07359397411346436, 0.14404109120368958, 0.28720808029174805, 0.4951569139957428]"
29,2,2,"[0.07444139569997787, 0.0871855765581131, 0.8373239636421204, 0.0010490387212485075]"
30,2,2,"[0.0027749508153647184, 0.1022210344672203, 0.8923729062080383, 0.0026311723049730062]"
31,0,0,"[0.878182590007782, 0.110035739839077, 0.006007638294249773, 0.005774138029664755]"
32,2,2,"[0.011595655232667923, 0.11006557941436768, 0.864050567150116, 0.014288228936493397]"
33,3,3,"[0.0021967922803014517, 0.09639950096607208, 0.00952029787003994, 0.8918834328651428]"
34,3,3,"[0.348928838968277, 0.2757139503955841, 0.022887052968144417, 0.35247015953063965]"
35,2,2,"[0.003944635856896639, 0.03649524226784706, 0.9494680166244507, 0.010092074982821941]"
36,1,3,"[0.1145663857460022, 0.5671021342277527, 0.03561924025416374, 0.28271225094795227]"
37,1,2,"[0.006157570518553257, 0.5419610142707825, 0.42661216855049133, 0.02526918239891529]"
38,1,1,"[0.009908400475978851, 0.9031187891960144, 0.0350613072514534, 0.051911499351263046]"
39,1,1,"[0.0018284156685695052, 0.7399613261222839, 0.1533321738243103, 0.1048780009150505]"
40,0,0,"[0.8413591384887695, 0.15177956223487854, 0.0049522873014211655, 0.0019089672714471817]"
41,3,3,"[0.00018837656534742564, 0.39012759923934937, 0.0032644784078001976, 0.6064195036888123]"
42,3,3,"[0.003327917540445924, 0.2292616367340088, 0.0010606123832985759, 0.7663497924804688]"
43,0,0,"[0.9549745321273804, 0.04013681784272194, 0.002811603946611285, 0.0020770977716892958]"
44,2,2,"[0.002509275684133172, 0.19503194093704224, 0.7958139777183533, 0.006644842680543661]"
45,1,1,"[0.001165637862868607, 0.8416478037834167, 0.037971511483192444, 0.11921495944261551]"
46,3,3,"[0.00037786830216646194, 0.109223872423172, 0.2255304455757141, 0.6648678183555603]"
47,2,2,"[0.00030706042889505625, 0.0369710735976696, 0.9624599814414978, 0.00026194003294222057]"
48,3,3,"[0.0014944776194170117, 0.11768895387649536, 0.35764098167419434, 0.5231755971908569]"
49,2,2,"[0.0012317547807469964, 0.3193948268890381, 0.6734877228736877, 0.005885697901248932]"
50,2,2,"[0.014203795231878757, 0.07967481017112732, 0.9047431945800781, 0.0013782305177301168]"
51,2,2,"[0.0006846633041277528, 0.26077544689178467, 0.5079581141471863, 0.23058174550533295]"
52,1,1,"[0.002474807668477297, 0.7793803811073303, 0.10902895033359528, 0.109115831553936]"
53,0,0,"[0.9059931039810181, 0.07190759479999542, 0.020475663244724274, 0.0016236219089478254]"
54,3,3,"[3.3560427254997194e-05, 0.011130711995065212, 0.0005143135786056519, 0.9883214831352234]"
55,2,2,"[0.001911303959786892, 0.0019078064942732453, 0.9895560145378113, 0.006624856032431126]"
56,3,3,"[0.0004734364920295775, 0.16490723192691803, 0.040542952716350555, 0.7940763831138611]"
57,0,0,"[0.7933091521263123, 0.15772084891796112, 0.048951078206300735, 1.8967468349728733e-05]"
58,3,3,"[0.0009050294174812734, 0.24682311713695526, 0.09072288125753403, 0.6615489721298218]"
59,3,3,"[7.033237488940358e-05, 0.06318794935941696, 0.014506635256111622, 0.9222350716590881]"
